Flight ID,Ident,Type,Origin,Destination,Time (UTC),Latitude,Longitude,Groundspeed (kts),Altitude (ft),Rate,Course,Direction,Facility Name,Facility Description,Estimated Pos.
AAR551-1419920966-airline-0179:0,AAR551,A333,RKSI,LTBA,01/01/2015 13:01:00,40.976892,28.821111,,200,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 12:58:48,31.064877,2.549487,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:00:48,31.254736,2.771578,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:02:48,31.444593,2.994116,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:04:48,31.634451,3.217107,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:06:48,31.824307,3.440555,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:08:48,32.014163,3.664463,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:10:48,32.202344,3.890776,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:12:48,32.388851,4.119499,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:14:48,32.575357,4.348695,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:16:48,32.761863,4.578369,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:18:48,32.948367,4.808525,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:20:48,33.134871,5.039169,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:22:48,33.321374,5.270304,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:24:48,33.507876,5.501935,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:26:48,33.694378,5.734066,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:28:48,33.877474,5.970582,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:30:48,34.060570,6.207606,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:32:48,34.243664,6.445143,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:34:48,34.426758,6.683199,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:36:48,34.609851,6.921777,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:38:48,34.792943,7.160883,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:40:48,34.976035,7.400522,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:42:48,35.157395,7.642632,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:44:48,35.337024,7.887218,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:46:48,35.516653,8.132349,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:48:48,35.696280,8.378030,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:50:48,35.875907,8.624266,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:52:48,36.055533,8.871062,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:54:48,36.235158,9.118422,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:56:48,36.411267,9.370203,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 13:58:48,36.587375,9.622555,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:00:48,36.763482,9.875485,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:02:48,36.939588,10.128998,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:04:48,37.115694,10.383098,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:06:48,37.291798,10.637790,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:09:41,37.568544,10.947582,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:11:47,37.816792,11.056686,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:12:49,37.9428215027,11.1074199677,457,39000,,17,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:15:03,38.2091217041,11.2131299973,443,39000,,18,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:17:03,38.4499092102,11.3093500137,456,39000,,18,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:19:03,38.688949585,11.4055404663,439,39000,,18,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:21:19,38.951418,11.513277,,,,,,Interpolated,,Yes
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:23:00,39.1448898315,11.5909404755,435,39000,-100,17,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:25:15,39.4153289795,11.6286697388,432,37200,-1000,3,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:27:15,39.6477394104,11.6484899521,411,35200,-984,3,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:28:56,39.8354606628,11.6646099091,409,33600,-1000,3,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:30:55,40.0567512512,11.6829204559,398,31600,-1040,3,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:33:01,40.2747306824,11.7010498047,368,29100,-1818,3,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:35:00,40.4789009094,11.7180204391,360,25200,-1900,3,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:37:00,40.6751098633,11.73458004,348,21500,-1869,3,North,FlightAware ADS-B,,
ARG1140-1419834503-airline-0028,ARG1140,A343,SAEZ,LIRF,01/01/2015 14:39:10,40.8690490723,11.7871704102,324,17400,-2057,34,Northeast,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:24:44,39.4514884949,23.3155498505,392,26800,,165,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:26:57,39.2303886414,23.3891792297,373,22900,-1455,165,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:29:15,38.9975509644,23.4659404755,366,20300,-1091,165,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:30:48,38.8493309021,23.5146503448,358,18800,-952,165,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:32:49,38.6579093933,23.5763492584,353,16500,-1475,166,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:35:21,38.4244117737,23.6480693817,329,12200,-2000,166,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:37:02,38.2749481201,23.6335792542,301,11000,-182,188,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:38:46,38.1391296387,23.6134796143,276,9100,-2400,185,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:40:51,37.9650306702,23.5979194641,307,7100,-171,185,South,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:42:48,37.8061103821,23.5972900391,283,3700,-1600,149,Southeast,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:44:52,37.7129516602,23.720199585,195,3000,-167,82,East,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:46:53,37.7771911621,23.8037891388,142,3000,-143,37,Northeast,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:48:45,37.8279762268,23.852273941,109,2800,-511,36,Northeast,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:51:05,37.8867263794,23.9081001282,116,1300,-558,35,Northeast,FlightAware ADS-B,,
ASL516-1420053020-800-0:0,ASL516,,"39.45149, 23.31555",LGAV,01/01/2015 00:52:46,37.936358,23.944467,,300,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:42:09,40.994438,20.481736,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:44:09,40.856923,20.772465,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:46:09,40.719410,21.062591,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:48:09,40.581897,21.352119,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:50:09,40.442480,21.639452,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:52:09,40.301159,21.924588,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:54:09,40.159838,22.209129,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:56:09,40.018518,22.493078,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 10:58:09,39.877199,22.776442,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:00:09,39.735881,23.059222,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:02:09,39.590796,23.338171,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:04:09,39.447596,23.618163,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:06:21,39.2706298828,23.9227294922,498,41000,,130,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:08:19,39.0988502502,24.1821308136,500,41000,,130,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:10:21,38.9122695923,24.4615497589,490,41000,,130,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:12:22,38.7369995117,24.7216796875,496,41000,,130,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:14:19,38.5550498962,24.9895401001,496,41000,,131,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:16:22,38.3680305481,25.2623996735,503,41000,,131,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:18:40,38.158118,25.564560,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:20:23,38.002407074,25.7892112732,497,41000,,131,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:22:23,37.828441,26.071015,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:24:23,37.654476,26.352156,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:26:23,37.480511,26.632640,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:28:23,37.306548,26.912473,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:30:23,37.128735,27.187801,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:32:23,36.950923,27.462483,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:34:23,36.773111,27.736526,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:36:23,36.595301,28.009936,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:38:23,36.417491,28.282716,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:40:23,36.239683,28.554874,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:42:23,36.058078,28.822527,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:44:23,35.876475,29.089563,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:46:23,35.694872,29.355988,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:48:23,35.513270,29.621809,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:50:23,35.331669,29.887030,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:52:23,35.150070,30.151657,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:54:23,34.966600,30.413740,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:56:23,34.783131,30.675232,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 11:58:12,34.6272087097,30.9159202576,526,41000,,127,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:00:28,34.4194297791,31.2433204651,529,41000,,127,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:02:27,34.2403297424,31.5233802795,530,41000,,127,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:04:27,34.0599403381,31.8033599854,530,41000,,127,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:06:27,33.879360199,32.0818214417,520,41000,,127,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:08:28,33.7006988525,32.3547897339,529,38800,-3600,128,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:10:28,33.5166282654,32.6343917847,522,33700,-2000,128,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:12:28,33.3386993408,32.902130127,509,29000,-2000,128,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:14:28,33.1705207825,33.153881073,463,25600,-2000,128,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:16:28,33.0136413574,33.386631012,432,22100,-1333,128,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:18:29,32.8562202454,33.6050415039,438,19800,-1645,130,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:20:33,32.7001113892,33.8201217651,401,16400,-1600,130,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:22:32,32.56016922,34.0116500854,379,13400,-1500,130,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:24:22,32.4359207153,34.181098938,370,10700,-1425,130,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:26:12,32.322429657,34.3355293274,293,9100,-600,131,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:28:12,32.234336,34.468808,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:30:12,32.146243,34.601957,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:32:12,32.058150,34.734978,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:34:43,31.9481506348,34.8880195618,196,4300,-400,138,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:36:13,31.8911991119,34.9469604492,185,3400,-353,138,Southeast,FlightAware ADS-B,,
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:38:54,31.941498,34.932217,,,,,,Interpolated,,Yes
AWE796-1419834750-airline-0069,AWE796,A332,KPHL,LLBG,01/01/2015 12:40:54,32.006336,34.879671,,,,,,Interpolated,,Yes
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:37:17,34.014591217,35.2940788269,321,11000,2182,337,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:39:18,34.1885414124,35.2032814026,347,15700,2200,335,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:41:18,34.3588294983,35.0879211426,365,19800,1900,332,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:43:17,34.5391082764,34.9662818909,384,23300,1500,331,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:45:17,34.7306213379,34.8362503052,400,26300,1900,331,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:47:17,34.9269599915,34.7019996643,412,28900,1100,331,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:49:17,35.1277313232,34.5641098022,425,31100,1377,331,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:51:18,35.3317108154,34.423500061,413,33700,900,331,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:53:17,35.5319290161,34.2844696045,419,34000,,331,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:55:17,35.730381012,34.1362686157,395,34000,,318,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:57:17,35.8900489807,33.9583396912,387,34000,,318,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 02:59:17,36.0494003296,33.7815589905,384,34000,,319,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 03:01:17,36.2078208923,33.6041984558,389,34000,,318,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 03:03:33,36.3926696777,33.3967208862,396,34100,,318,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 03:05:27,36.5477905273,33.2209014893,397,34000,,318,Northwest,FlightAware ADS-B,,
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 03:07:27,36.731229,33.035593,,,,,,Interpolated,,Yes
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 03:09:27,36.914668,32.849841,,,,,,Interpolated,,Yes
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 03:11:27,37.098106,32.663640,,,,,,Interpolated,,Yes
AZA827-1419920841-airline-0063:0,AZA827,A321,OLBA,LIRF,01/01/2015 03:13:27,37.281543,32.476988,,,,,,Interpolated,,Yes
